Ion Concentrations vs Distance Data
Surface potential: -200 mV
""
z (Å),[Cl-] at c=0.01 M (M),[Na+] at c=0.01 M (M),[Cl-] at c=0.014 M (M),[Na+] at c=0.014 M (M),[Cl-] at c=0.02 M (M),[Na+] at c=0.02 M (M),[Cl-] at c=0.028 M (M),[Na+] at c=0.028 M (M),[Cl-] at c=0.04 M (M),[Na+] at c=0.04 M (M),[Cl-] at c=0.056 M (M),[Na+] at c=0.056 M (M),[Cl-] at c=0.079 M (M),[Na+] at c=0.079 M (M),[Cl-] at c=0.11 M (M),[Na+] at c=0.11 M (M),[Cl-] at c=0.16 M (M),[Na+] at c=0.16 M (M),[Cl-] at c=0.22 M (M),[Na+] at c=0.22 M (M),[Cl-] at c=0.32 M (M),[Na+] at c=0.32 M (M),[Cl-] at c=0.45 M (M),[Na+] at c=0.45 M (M),[Cl-] at c=0.63 M (M),[Na+] at c=0.63 M (M),[Cl-] at c=0.89 M (M),[Na+] at c=0.89 M (M),[Cl-] at c=1.3 M (M),[Na+] at c=1.3 M (M),[Cl-] at c=1.8 M (M),[Na+] at c=1.8 M (M),[Cl-] at c=2.5 M (M),[Na+] at c=2.5 M (M),[Cl-] at c=3.5 M (M),[Na+] at c=3.5 M (M)
3.525,2.044981e-05,1.905751e+00,3.539911e-05,2.215836e+00,6.188712e-05,2.553562e+00,1.092125e-04,2.918362e+00,1.944113e-04,3.309658e+00,3.488287e-04,3.727029e+00,6.303215e-04,4.170423e+00,1.145896e-03,4.640409e+00,2.093636e-03,5.138508e+00,3.840149e-03,5.667640e+00,7.063259e-03,6.232738e+00,1.301420e-02,6.841603e+00,2.399858e-02,7.506101e+00,4.425807e-02,8.243830e+00,8.158686e-02,9.080445e+00,1.502961e-01,1.005291e+01,2.766454e-01,1.121409e+01,5.087485e-01,1.263946e+01
3.622,2.180196e-05,1.844299e+00,3.789606e-05,2.137794e+00,6.653484e-05,2.456233e+00,1.179271e-04,2.798993e+00,2.108595e-04,3.165496e+00,3.800543e-04,3.555378e+00,6.898906e-04,3.968698e+00,1.259976e-03,4.406182e+00,2.312705e-03,4.869552e+00,4.261480e-03,5.361962e+00,7.873824e-03,5.888602e+00,1.457205e-02,6.457537e+00,2.698597e-02,7.080881e+00,4.996683e-02,7.776420e+00,9.244399e-02,8.569882e+00,1.708167e-01,9.498116e+00,3.151205e-01,1.061360e+01,5.801311e-01,1.199100e+01
3.720,2.320269e-05,1.785071e+00,4.049022e-05,2.063008e+00,7.137722e-05,2.363459e+00,1.270319e-04,2.685762e+00,2.280911e-04,3.029348e+00,4.128530e-04,3.393913e+00,7.526193e-04,3.779609e+00,1.380395e-03,4.187294e+00,2.544466e-03,4.618847e+00,4.708124e-03,5.077599e+00,8.734603e-03,5.568920e+00,1.622874e-02,6.101048e+00,3.016588e-02,6.686228e+00,5.604532e-02,7.342309e+00,1.039977e-01,8.094959e+00,1.926150e-01,8.980783e+00,3.558500e-01,1.005177e+01,6.552558e-01,1.138176e+01
3.817,2.465223e-05,1.728031e+00,4.318209e-05,1.991376e+00,7.641538e-05,2.275044e+00,1.365294e-04,2.578350e+00,2.461108e-04,2.900745e+00,4.472345e-04,3.241977e+00,8.185248e-04,3.602285e+00,1.507180e-03,3.982636e+00,2.788952e-03,4.385034e+00,5.180085e-03,4.812939e+00,9.645416e-03,5.271846e+00,1.798342e-02,5.770095e+00,3.353528e-02,6.319984e+00,6.248407e-02,6.939338e+00,1.162205e-01,7.653679e+00,2.156152e-01,8.499303e+00,3.986323e-01,9.527680e+00,7.336090e-01,1.081188e+01
3.915,2.615079e-05,1.673129e+00,4.597214e-05,1.922788e+00,8.165034e-05,2.190793e+00,1.464217e-04,2.476449e+00,2.649230e-04,2.779234e+00,4.832067e-04,3.098948e+00,8.876207e-04,3.435909e+00,1.640353e-03,3.791174e+00,3.046175e-03,4.166844e+00,5.677316e-03,4.566476e+00,1.060597e-02,4.995648e+00,1.983494e-02,5.462749e+00,3.709048e-02,5.980079e+00,6.927212e-02,6.565380e+00,1.290816e-01,7.243983e+00,2.397343e-01,8.051850e+00,4.432534e-01,9.039957e+00,8.146615e-01,1.028073e+01
4.012,2.769859e-05,1.620310e+00,4.886082e-05,1.857129e+00,8.708302e-05,2.110509e+00,1.567107e-04,2.379759e+00,2.845312e-04,2.664386e+00,5.207761e-04,2.964244e+00,9.599173e-04,3.279718e+00,1.779922e-03,3.611943e+00,3.316132e-03,3.963099e+00,6.199725e-03,4.336812e+00,1.161586e-02,4.738711e+00,2.178193e-02,5.177201e+00,4.082723e-02,5.664545e+00,7.639724e-02,6.218372e+00,1.425475e-01,6.863803e+00,2.648844e-01,7.636473e+00,4.894920e-01,8.586926e+00,8.978825e-01,9.787085e+00
4.110,2.929580e-05,1.569515e+00,5.184853e-05,1.794283e+00,9.271425e-05,2.034002e+00,1.673979e-04,2.287993e+00,3.049387e-04,2.555795e+00,5.599481e-04,2.837315e+00,1.035422e-03,3.132999e+00,1.925893e-03,3.444049e+00,3.598798e-03,3.772708e+00,6.747183e-03,4.122652e+00,1.267460e-02,4.499538e+00,2.382279e-02,4.911762e+00,4.474081e-02,5.371529e+00,8.384619e-02,5.896340e+00,1.565827e-01,6.511105e+00,2.909745e-01,7.251167e+00,5.371239e-01,8.166714e+00,9.827517e-01,9.329326e+00
4.207,3.094259e-05,1.520678e+00,5.493561e-05,1.734133e+00,9.854478e-05,1.961086e+00,1.784850e-04,2.200875e+00,3.261480e-04,2.453076e+00,6.007269e-04,2.717647e+00,1.114140e-03,2.995090e+00,2.078264e-03,3.286665e+00,3.894137e-03,3.594665e+00,7.319521e-03,3.922801e+00,1.378160e-02,4.276743e+00,2.595574e-02,4.664863e+00,4.882605e-02,5.099294e+00,9.160486e-02,5.597410e+00,1.711501e-01,6.183924e+00,3.179112e-01,6.893928e+00,5.859261e-01,7.777347e+00,1.068768e+00,8.905581e+00
4.305,3.263912e-05,1.473733e+00,5.812241e-05,1.676563e+00,1.045753e-04,1.891580e+00,1.899731e-04,2.118142e+00,3.481615e-04,2.355867e+00,6.431157e-04,2.604760e+00,1.196072e-03,2.865376e+00,2.237026e-03,3.139025e+00,4.202096e-03,3.428039e+00,7.916539e-03,3.736157e+00,1.493622e-02,4.069046e+00,2.817883e-02,4.435050e+00,5.307748e-02,4.846227e+00,9.965845e-02,5.319823e+00,1.862117e-01,5.880382e+00,3.456007e-01,6.562796e+00,6.356797e-01,7.416820e+00,1.155457e+00,8.513832e+00
4.402,3.438555e-05,1.428613e+00,6.140923e-05,1.621460e+00,1.108063e-04,1.825309e+00,2.018634e-04,2.039546e+00,3.709807e-04,2.263828e+00,6.871164e-04,2.498207e+00,1.281218e-03,2.743287e+00,2.402164e-03,3.000420e+00,4.522609e-03,3.271974e+00,8.538005e-03,3.561704e+00,1.613772e-02,3.875273e+00,3.048994e-02,4.220985e+00,5.748928e-02,4.610826e+00,1.079917e-01,5.061931e+00,2.017288e-01,5.598699e+00,3.739496e-01,6.255876e+00,6.861724e-01,7.083144e+00,1.242377e+00,8.152003e+00
4.499,3.618200e-05,1.385248e+00,6.479635e-05,1.568713e+00,1.172385e-04,1.762108e+00,2.141568e-04,1.964852e+00,3.946073e-04,2.176640e+00,7.327302e-04,2.397571e+00,1.369577e-03,2.628293e+00,2.573660e-03,2.870199e+00,4.855599e-03,3.125683e+00,9.183662e-03,3.398513e+00,1.738534e-02,3.694339e+00,3.288687e-02,4.021432e+00,6.205542e-02,4.391707e+00,1.165888e-01,4.822202e+00,2.176622e-01,5.337203e+00,4.028658e-01,5.971367e+00,7.372010e-01,6.774383e+00,1.329121e+00,7.818015e+00
4.597,3.802860e-05,1.343571e+00,6.828400e-05,1.518213e+00,1.238722e-04,1.701817e+00,2.268541e-04,1.893835e+00,4.190421e-04,2.094002e+00,7.799575e-04,2.302463e+00,1.461142e-03,2.519907e+00,2.751489e-03,2.747760e+00,5.200978e-03,2.988441e+00,9.853227e-03,3.245725e+00,1.867822e-02,3.525252e+00,3.536727e-02,3.835256e+00,6.676966e-02,4.187591e+00,1.254339e-01,4.599216e+00,2.339731e-01,5.094333e+00,4.322592e-01,5.707561e+00,7.885723e-01,6.488684e+00,1.415318e+00,7.509841e+00
4.694,3.992546e-05,1.303516e+00,7.187241e-05,1.469857e+00,1.307078e-04,1.644285e+00,2.399559e-04,1.826285e+00,4.442858e-04,2.015637e+00,8.287977e-04,2.212523e+00,1.555908e-03,2.417674e+00,2.935623e-03,2.632547e+00,5.558647e-03,2.859581e+00,1.054640e-02,3.102556e+00,2.001550e-02,3.367101e+00,3.792871e-02,3.661415e+00,7.162561e-02,3.997304e+00,1.345109e-01,4.391660e+00,2.506227e-01,4.868636e+00,4.620422e-01,5.462862e+00,8.401045e-01,6.224286e+00,1.500636e+00,7.225528e+00
4.792,4.187269e-05,1.265015e+00,7.556178e-05,1.423543e+00,1.377458e-04,1.589366e+00,2.534627e-04,1.762006e+00,4.703387e-04,1.941281e+00,8.792494e-04,2.127416e+00,1.653865e-03,2.321177e+00,3.126029e-03,2.524049e+00,5.928498e-03,2.738490e+00,1.126284e-02,2.968285e+00,2.139624e-02,3.219049e+00,4.056869e-02,3.498954e+00,7.661678e-02,3.819763e+00,1.438035e-01,4.198323e+00,2.675729e-01,4.658766e+00,4.921306e-01,5.235777e+00,8.916283e-01,5.979533e+00,1.584782e+00,6.963224e+00
4.889,4.387038e-05,1.228005e+00,7.935228e-05,1.379175e+00,1.449864e-04,1.536923e+00,2.673749e-04,1.700809e+00,4.972009e-04,1.870690e+00,9.313105e-04,2.046830e+00,1.755005e-03,2.230027e+00,3.322670e-03,2.421795e+00,6.310414e-03,2.624607e+00,1.200222e-02,2.842250e+00,2.281948e-02,3.080330e+00,4.328464e-02,3.346996e+00,8.173655e-02,3.653977e+00,1.532957e-01,4.018093e+00,2.847861e-01,4.463481e+00,5.224435e-01,5.024923e+00,9.429866e-01,5.752880e+00,1.667498e+00,6.721183e+00
4.987,4.591861e-05,1.192424e+00,8.324407e-05,1.336660e+00,1.524298e-04,1.486827e+00,2.816927e-04,1.642520e+00,5.248722e-04,1.803636e+00,9.849785e-04,1.970475e+00,1.859315e-03,2.143867e+00,3.525507e-03,2.325350e+00,6.704272e-03,2.517412e+00,1.276417e-02,2.723844e+00,2.428423e-02,2.950243e+00,4.607392e-02,3.204738e+00,8.697829e-02,3.499036e+00,1.629714e-01,3.849946e+00,3.022259e-01,4.281636e+00,5.529040e-01,4.829017e+00,9.940352e-01,5.542887e+00,1.748561e+00,6.497778e+00
5.084,4.801746e-05,1.158210e+00,8.723728e-05,1.295909e+00,1.600762e-04,1.438954e+00,2.964162e-04,1.586975e+00,5.533520e-04,1.739906e+00,1.040250e-03,1.898082e+00,1.966782e-03,2.062365e+00,3.734496e-03,2.234314e+00,7.109941e-03,2.416431e+00,1.354832e-02,2.612510e+00,2.578948e-02,2.828142e+00,4.893389e-02,3.071443e+00,9.233531e-02,3.354106e+00,1.728146e-01,3.692945e+00,3.198565e-01,4.112177e+00,5.834390e-01,4.646880e+00,1.044643e+00,5.348226e+00,1.827784e+00,6.291496e+00
5.182,5.016701e-05,1.125306e+00,9.133204e-05,1.256839e+00,1.679258e-04,1.393187e+00,3.115455e-04,1.534017e+00,5.826395e-04,1.679300e+00,1.097121e-03,1.829402e+00,2.077393e-03,1.985214e+00,3.949591e-03,2.148317e+00,7.527282e-03,2.321225e+00,1.435428e-02,2.507737e+00,2.733416e-02,2.713438e+00,5.186182e-02,2.946438e+00,9.780094e-02,3.218424e+00,1.828098e-01,3.546226e+00,3.376437e-01,3.954138e+00,6.139797e-01,4.477424e+00,1.094690e+00,5.167668e+00,1.905008e+00,6.100938e+00
5.279,5.236731e-05,1.093655e+00,9.552842e-05,1.219369e+00,1.759786e-04,1.349418e+00,3.270805e-04,1.483504e+00,6.127337e-04,1.621632e+00,1.155587e-03,1.764202e+00,2.191130e-03,1.912131e+00,4.170743e-03,2.067019e+00,7.956152e-03,2.231393e+00,1.518165e-02,2.409054e+00,2.891722e-02,2.605591e+00,5.485500e-02,2.829105e+00,1.033685e-01,3.091289e+00,1.929414e-01,3.409002e+00,3.555541e-01,3.806629e+00,6.444616e-01,4.319649e+00,1.144072e+00,5.000084e+00,1.980107e+00,5.924815e+00
5.377,5.461842e-05,1.063202e+00,9.982653e-05,1.183421e+00,1.842349e-04,1.307541e+00,3.430210e-04,1.435297e+00,6.436333e-04,1.566729e+00,1.215643e-03,1.702267e+00,2.307978e-03,1.842853e+00,4.397900e-03,1.990105e+00,8.396402e-03,2.146562e+00,1.603003e-02,2.316032e+00,3.053758e-02,2.504102e+00,5.791067e-02,2.718876e+00,1.090314e-01,2.972059e+00,2.031943e-01,3.280548e+00,3.735557e-01,3.668837e+00,6.748243e-01,4.172639e+00,1.192692e+00,4.844437e+00,2.052978e+00,5.761945e+00
5.474,5.692039e-05,1.033895e+00,1.042264e-04,1.148923e+00,1.926945e-04,1.267458e+00,3.593667e-04,1.389270e+00,6.753370e-04,1.514430e+00,1.277284e-03,1.643397e+00,2.427919e-03,1.777136e+00,4.631008e-03,1.917284e+00,8.847877e-03,2.066392e+00,1.689898e-02,2.228273e+00,3.219412e-02,2.408517e+00,6.102609e-02,2.615234e+00,1.147830e-01,2.860146e+00,2.135537e-01,3.160203e+00,3.916180e-01,3.540017e+00,7.050118e-01,4.035554e+00,1.240467e+00,4.699776e+00,2.123544e+00,5.611242e+00
5.572,5.927326e-05,1.005685e+00,1.087281e-04,1.115806e+00,2.013574e-04,1.229077e+00,3.761174e-04,1.345302e+00,7.078430e-04,1.464582e+00,1.340503e-03,1.587404e+00,2.550933e-03,1.714755e+00,4.870010e-03,1.848289e+00,9.310419e-03,1.990567e+00,1.778808e-02,2.145412e+00,3.388575e-02,2.318417e+00,6.419849e-02,2.517701e+00,1.206167e-01,2.755012e+00,2.240052e-01,3.047358e+00,4.097117e-01,3.419484e+00,7.349724e-01,3.907623e+00,1.287326e+00,4.565230e+00,2.191750e+00,5.471713e+00
5.669,6.167706e-05,9.785238e-01,1.133317e-04,1.084003e+00,2.102237e-04,1.192310e+00,3.932725e-04,1.303280e+00,7.411495e-04,1.417044e+00,1.405294e-03,1.534115e+00,2.677000e-03,1.655500e+00,5.114849e-03,1.782871e+00,9.783864e-03,1.918798e+00,1.869690e-02,2.067113e+00,3.561134e-02,2.233417e+00,6.742512e-02,2.425841e+00,1.265263e-01,2.656161e+00,2.345348e-01,2.941457e+00,4.278090e-01,3.306613e+00,7.646582e-01,3.788141e+00,1.333204e+00,4.440001e+00,2.257559e+00,5.342449e+00
5.767,6.413183e-05,9.523654e-01,1.180372e-04,1.053452e+00,2.192931e-04,1.157075e+00,4.108315e-04,1.263100e+00,7.752544e-04,1.371685e+00,1.471651e-03,1.483369e+00,2.806100e-03,1.599179e+00,5.365464e-03,1.720800e+00,1.026805e-02,1.850817e+00,1.962499e-02,1.993068e+00,3.736977e-02,2.153163e+00,7.070323e-02,2.339251e+00,1.325053e-01,2.563142e+00,2.451288e-01,2.841989e+00,4.458835e-01,3.200830e+00,7.940259e-01,3.676463e+00,1.378051e+00,4.323359e+00,2.320955e+00,5.222620e+00
5.864,6.663759e-05,9.271662e-01,1.228445e-04,1.024094e+00,2.285657e-04,1.123295e+00,4.287939e-04,1.224662e+00,8.101556e-04,1.328382e+00,1.539566e-03,1.435015e+00,2.938210e-03,1.545610e+00,5.621792e-03,1.661865e+00,1.076280e-02,1.786376e+00,2.057190e-02,1.922991e+00,3.915989e-02,2.077330e+00,7.403008e-02,2.257563e+00,1.385475e-01,2.475536e+00,2.557740e-01,2.748486e+00,4.639101e-01,3.101609e+00,8.230357e-01,3.571997e+00,1.421821e+00,4.214638e+00,2.381932e+00,5.111469e+00
5.962,6.919435e-05,9.028845e-01,1.277538e-04,9.958728e-01,2.380413e-04,1.090895e+00,4.471590e-04,1.187872e+00,8.458507e-04,1.287018e+00,1.609031e-03,1.388914e+00,3.073309e-03,1.494626e+00,5.883770e-03,1.605868e+00,1.126794e-02,1.725247e+00,2.153718e-02,1.856619e+00,4.098058e-02,2.005619e+00,7.740295e-02,2.180436e+00,1.446467e-01,2.392963e+00,2.664577e-01,2.660519e+00,4.818653e-01,3.008467e+00,8.516518e-01,3.474202e+00,1.464479e+00,4.113227e+00,2.440503e+00,5.008303e+00
6.059,7.180213e-05,8.794804e-01,1.327649e-04,9.687344e-01,2.477197e-04,1.059806e+00,4.659260e-04,1.152645e+00,8.823372e-04,1.247486e+00,1.680040e-03,1.344935e+00,3.211373e-03,1.446073e+00,6.151333e-03,1.552628e+00,1.178330e-02,1.667218e+00,2.252038e-02,1.793710e+00,4.283070e-02,1.937753e+00,8.081914e-02,2.107560e+00,1.507969e-01,2.315070e+00,2.771675e-01,2.577694e+00,4.997269e-01,2.920964e+00,8.798421e-01,3.382581e+00,1.505997e+00,4.018568e+00,2.496689e+00,4.912489e+00
6.157,7.446095e-05,8.569158e-01,1.378778e-04,9.426286e-01,2.576007e-04,1.029964e+00,4.850942e-04,1.118896e+00,9.196123e-04,1.209686e+00,1.752582e-03,1.302956e+00,3.352379e-03,1.399805e+00,6.424413e-03,1.501975e+00,1.230869e-02,1.612093e+00,2.352103e-02,1.734039e+00,4.470910e-02,1.873477e+00,8.427598e-02,2.038646e+00,1.569923e-01,2.241535e+00,2.878916e-01,2.499648e+00,5.174743e-01,2.838693e+00,9.075779e-01,3.296681e+00,1.546353e+00,3.930150e+00,2.550522e+00,4.823450e+00
6.254,7.717079e-05,8.351545e-01,1.430926e-04,9.175072e-01,2.676841e-04,1.001306e+00,5.046627e-04,1.086550e+00,9.576734e-04,1.173522e+00,1.826651e-03,1.262863e+00,3.496300e-03,1.355689e+00,6.702943e-03,1.453752e+00,1.284395e-02,1.559692e+00,2.453867e-02,1.677401e+00,4.661465e-02,1.812557e+00,8.777082e-02,1.973430e+00,1.632271e-01,2.172059e+00,2.986188e-01,2.426047e+00,5.350880e-01,2.761282e+00,9.348339e-01,3.216085e+00,1.585534e+00,3.847504e+00,2.602043e+00,4.740659e+00
6.352,7.993168e-05,8.141620e-01,1.484091e-04,8.933249e-01,2.779696e-04,9.737745e-01,5.246307e-04,1.055534e+00,9.965174e-04,1.138906e+00,1.902237e-03,1.224551e+00,3.643113e-03,1.313598e+00,6.986852e-03,1.407813e+00,1.338887e-02,1.509847e+00,2.557284e-02,1.623601e+00,4.854621e-02,1.754776e+00,9.130104e-02,1.911666e+00,1.694956e-01,2.106369e+00,3.093380e-01,2.356587e+00,5.525500e-01,2.688389e+00,9.615881e-01,3.140409e+00,1.623531e+00,3.770203e+00,2.651299e+00,4.663632e+00
6.449,8.274359e-05,7.939052e-01,1.538272e-04,8.700385e-01,2.884569e-04,9.473147e-01,5.449971e-04,1.025779e+00,1.036141e-03,1.105756e+00,1.979331e-03,1.187921e+00,3.792791e-03,1.273417e+00,7.276072e-03,1.364024e+00,1.394329e-02,1.462401e+00,2.662305e-02,1.572465e+00,5.050266e-02,1.699932e+00,9.486407e-02,1.853130e+00,1.757925e-01,2.044212e+00,3.200389e-01,2.290985e+00,5.698437e-01,2.619699e+00,9.878213e-01,3.069305e+00,1.660339e+00,3.697854e+00,2.698344e+00,4.591929e+00
6.547,8.560652e-05,7.743528e-01,1.593470e-04,8.476071e-01,2.991459e-04,9.218746e-01,5.657609e-04,9.972227e-01,1.076542e-03,1.073993e+00,2.057923e-03,1.152879e+00,3.945307e-03,1.235037e+00,7.570529e-03,1.322257e+00,1.450701e-02,1.417210e+00,2.768886e-02,1.523826e+00,5.248287e-02,1.647840e+00,9.845735e-02,1.797613e+00,1.821123e-01,1.985356e+00,3.307115e-01,2.228980e+00,5.869536e-01,2.554924e+00,1.013517e+00,3.002448e+00,1.695961e+00,3.630097e+00,2.743236e+00,4.525146e+00
6.644,8.852045e-05,7.554748e-01,1.649683e-04,8.259919e-01,3.100360e-04,8.974055e-01,5.869211e-04,9.698034e-01,1.117716e-03,1.043546e+00,2.138004e-03,1.119340e+00,4.100636e-03,1.198357e+00,7.870152e-03,1.282395e+00,1.507984e-02,1.374140e+00,2.876977e-02,1.477532e+00,5.448572e-02,1.598328e+00,1.020784e-01,1.744923e+00,1.884499e-01,1.929585e+00,3.413464e-01,2.170335e+00,6.038657e-01,2.493796e+00,1.038662e+00,2.939543e+00,1.730402e+00,3.566601e+00,2.786037e+00,4.462912e+00
6.742,9.148538e-05,7.372428e-01,1.706911e-04,8.051562e-01,3.211271e-04,8.738610e-01,6.084765e-04,9.434647e-01,1.159660e-03,1.014344e+00,2.219565e-03,1.087222e+00,4.258749e-03,1.163280e+00,8.174867e-03,1.244330e+00,1.566159e-02,1.333065e+00,2.986534e-02,1.433443e+00,5.651010e-02,1.551238e+00,1.057247e-01,1.694880e+00,1.948003e-01,1.876700e+00,3.519345e-01,2.114827e+00,6.205669e-01,2.436072e+00,1.063246e+00,2.880317e+00,1.763671e+00,3.507063e+00,2.826812e+00,4.404889e+00
6.839,9.450127e-05,7.196295e-01,1.765152e-04,7.850651e-01,3.324187e-04,8.511976e-01,6.304260e-04,9.181532e-01,1.202370e-03,9.863252e-01,2.302594e-03,1.056450e+00,4.419618e-03,1.129720e+00,8.484599e-03,1.207959e+00,1.625207e-02,1.293871e+00,3.097507e-02,1.391425e+00,5.855490e-02,1.506421e+00,1.093938e-01,1.647321e+00,2.011586e-01,1.826519e+00,3.624675e-01,2.062253e+00,6.370456e-01,2.381524e+00,1.087259e+00,2.824520e+00,1.795781e+00,3.451204e+00,2.865628e+00,4.350766e+00
6.937,9.756811e-05,7.026092e-01,1.824405e-04,7.656855e-01,3.439105e-04,8.293740e-01,6.527684e-04,8.938187e-01,1.245844e-03,9.594282e-01,2.387082e-03,1.026952e+00,4.583216e-03,1.097594e+00,8.799274e-03,1.173187e+00,1.685110e-02,1.256447e+00,3.209852e-02,1.351359e+00,6.061903e-02,1.463740e+00,1.130835e-01,1.602091e+00,2.075202e-01,1.778870e+00,3.729372e-01,2.012425e+00,6.532911e-01,2.329944e+00,1.110694e+00,2.771921e+00,1.826748e+00,3.398768e+00,2.902553e+00,4.300258e+00
7.034,1.006859e-04,6.861572e-01,1.884670e-04,7.469860e-01,3.556020e-04,8.083512e-01,6.755024e-04,8.704136e-01,1.290076e-03,9.335965e-01,2.473018e-03,9.986616e-01,4.749513e-03,1.066824e+00,9.118816e-03,1.139926e+00,1.745847e-02,1.220695e+00,3.323519e-02,1.313129e+00,6.270142e-02,1.423068e+00,1.167913e-01,1.559051e+00,2.138804e-01,1.733597e+00,3.833360e-01,1.965168e+00,6.692939e-01,2.281139e+00,1.133549e+00,2.722305e+00,1.856589e+00,3.349518e+00,2.937657e+00,4.253102e+00
7.132,1.038545e-04,6.702499e-01,1.945944e-04,7.289368e-01,3.674929e-04,7.880923e-01,6.986266e-04,8.478933e-01,1.335064e-03,9.087769e-01,2.560391e-03,9.715166e-01,4.918481e-03,1.037338e+00,9.443148e-03,1.108093e+00,1.807400e-02,1.186519e+00,3.438464e-02,1.276629e+00,6.480097e-02,1.384287e+00,1.205149e-01,1.518067e+00,2.202348e-01,1.690554e+00,3.936569e-01,1.920320e+00,6.850454e-01,2.234931e+00,1.155818e+00,2.675478e+00,1.885324e+00,3.303237e+00,2.971010e+00,4.209056e+00
7.229,1.070740e-04,6.548651e-01,2.008227e-04,7.115097e-01,3.795827e-04,7.685624e-01,7.221399e-04,8.262155e-01,1.380803e-03,8.849192e-01,2.649191e-03,9.454582e-01,5.090089e-03,1.009068e+00,9.772194e-03,1.077609e+00,1.869749e-02,1.153832e+00,3.554639e-02,1.241762e+00,6.691665e-02,1.347286e+00,1.242522e-01,1.479017e+00,2.265793e-01,1.649605e+00,4.038930e-01,1.877734e+00,7.005382e-01,2.191156e+00,1.177503e+00,2.631256e+00,1.912977e+00,3.259725e+00,3.002679e+00,4.167900e+00
7.327,1.103443e-04,6.399813e-01,2.071517e-04,6.946778e-01,3.918710e-04,7.497286e-01,7.460408e-04,8.053405e-01,1.427290e-03,8.619763e-01,2.739407e-03,9.204314e-01,5.264309e-03,9.819505e-01,1.010588e-02,1.048404e+00,1.932875e-02,1.122552e+00,3.671997e-02,1.208436e+00,6.904738e-02,1.311964e+00,1.280009e-01,1.441788e+00,2.329098e-01,1.610624e+00,4.140382e-01,1.837269e+00,7.157657e-01,2.149661e+00,1.198603e+00,2.589472e+00,1.939571e+00,3.218795e+00,3.032736e+00,4.129429e+00
7.424,1.136654e-04,6.255783e-01,2.135813e-04,6.784156e-01,4.043573e-04,7.315595e-01,7.703278e-04,7.852307e-01,1.474520e-03,8.399038e-01,2.831026e-03,8.963843e-01,5.441109e-03,9.559262e-01,1.044412e-02,1.020409e+00,1.996757e-02,1.092602e+00,3.790493e-02,1.176564e+00,7.119215e-02,1.278225e+00,1.317589e-01,1.406274e+00,2.392224e-01,1.573496e+00,4.240865e-01,1.798798e+00,7.307223e-01,2.110305e+00,1.219120e+00,2.549972e+00,1.965130e+00,3.180277e+00,3.061246e+00,4.093454e+00
7.522,1.170372e-04,6.116367e-01,2.201114e-04,6.626989e-01,4.170410e-04,7.140255e-01,7.949996e-04,7.658505e-01,1.522489e-03,8.186597e-01,2.924039e-03,8.732683e-01,5.620460e-03,9.309389e-01,1.078683e-02,9.935598e-01,2.061378e-02,1.063912e+00,3.910081e-02,1.146067e+00,7.334992e-02,1.245979e+00,1.355241e-01,1.372377e+00,2.455133e-01,1.538110e+00,4.340326e-01,1.762202e+00,7.454031e-01,2.072957e+00,1.239058e+00,2.512610e+00,1.989682e+00,3.144013e+00,3.088277e+00,4.059802e+00
7.619,1.204597e-04,5.981380e-01,2.267417e-04,6.475047e-01,4.299218e-04,6.970987e-01,8.200547e-04,7.471665e-01,1.571194e-03,7.982047e-01,3.018432e-03,8.510376e-01,5.802331e-03,9.069364e-01,1.113395e-02,9.677978e-01,2.126717e-02,1.036413e+00,4.030714e-02,1.116869e+00,7.551970e-02,1.215144e+00,1.392944e-01,1.340005e+00,2.517790e-01,1.504368e+00,4.438714e-01,1.727368e+00,7.598041e-01,2.037495e+00,1.258422e+00,2.477254e+00,2.013252e+00,3.109856e+00,3.113895e+00,4.028312e+00
7.717,1.239329e-04,5.850646e-01,2.334721e-04,6.328111e-01,4.429991e-04,6.807524e-01,8.454915e-04,7.291469e-01,1.620629e-03,7.785014e-01,3.114195e-03,8.296492e-01,5.986690e-03,8.838692e-01,1.148539e-02,9.430669e-01,2.192755e-02,1.010044e+00,4.152348e-02,1.088902e+00,7.770048e-02,1.185642e+00,1.430680e-01,1.309071e+00,2.580160e-01,1.472173e+00,4.535983e-01,1.694195e+00,7.739222e-01,2.003807e+00,1.277216e+00,2.443780e+00,2.035868e+00,3.077671e+00,3.138163e+00,3.998835e+00
7.814,1.274566e-04,5.723997e-01,2.403024e-04,6.185973e-01,4.562723e-04,6.649613e-01,8.713086e-04,7.117617e-01,1.670790e-03,7.595148e-01,3.211316e-03,8.090623e-01,6.173507e-03,8.616911e-01,1.184108e-02,9.193147e-01,2.259473e-02,9.847453e-01,4.274936e-02,1.062099e+00,7.989128e-02,1.157401e+00,1.468429e-01,1.279498e+00,2.642210e-01,1.441440e+00,4.632089e-01,1.662587e+00,7.877548e-01,1.971787e+00,1.295448e+00,2.412073e+00,2.057559e+00,3.047332e+00,3.161144e+00,3.971236e+00
