Ion Concentrations vs Distance Data
Surface potential: -200 mV
""
z (Å),[Cl-] at c=0.01 M (M),[Na+] at c=0.01 M (M),[Cl-] at c=0.014 M (M),[Na+] at c=0.014 M (M),[Cl-] at c=0.02 M (M),[Na+] at c=0.02 M (M),[Cl-] at c=0.028 M (M),[Na+] at c=0.028 M (M),[Cl-] at c=0.04 M (M),[Na+] at c=0.04 M (M),[Cl-] at c=0.056 M (M),[Na+] at c=0.056 M (M),[Cl-] at c=0.079 M (M),[Na+] at c=0.079 M (M),[Cl-] at c=0.11 M (M),[Na+] at c=0.11 M (M),[Cl-] at c=0.16 M (M),[Na+] at c=0.16 M (M),[Cl-] at c=0.22 M (M),[Na+] at c=0.22 M (M),[Cl-] at c=0.32 M (M),[Na+] at c=0.32 M (M),[Cl-] at c=0.45 M (M),[Na+] at c=0.45 M (M),[Cl-] at c=0.63 M (M),[Na+] at c=0.63 M (M),[Cl-] at c=0.89 M (M),[Na+] at c=0.89 M (M),[Cl-] at c=1.3 M (M),[Na+] at c=1.3 M (M),[Cl-] at c=1.8 M (M),[Na+] at c=1.8 M (M),[Cl-] at c=2.5 M (M),[Na+] at c=2.5 M (M),[Cl-] at c=3.5 M (M),[Na+] at c=3.5 M (M)
1.575,3.314058e-19,3.101230e-13,5.174905e-19,4.016958e-13,8.120917e-19,5.173054e-13,1.280073e-18,6.620471e-13,2.025272e-18,8.414755e-13,3.213332e-18,1.061210e-12,5.106829e-18,1.326154e-12,8.117917e-18,1.639095e-12,1.288425e-17,1.998363e-12,2.037208e-17,2.394151e-12,3.200269e-17,2.803176e-12,4.977810e-17,3.181855e-12,7.633802e-17,3.459717e-12,1.147985e-16,3.538432e-12,1.680957e-16,3.308431e-12,2.374166e-16,2.701430e-12,3.193070e-16,1.785342e-12,4.016446e-16,8.379081e-13
1.672,3.773204e-19,3.126458e-13,5.931070e-19,4.029149e-13,9.374155e-19,5.162437e-13,1.488989e-18,6.574013e-13,2.375350e-18,8.316160e-13,3.802577e-18,1.044271e-12,6.102236e-18,1.300295e-12,9.803943e-18,1.603071e-12,1.574457e-17,1.952589e-12,2.522632e-17,2.342522e-12,4.023271e-17,2.755863e-12,6.369709e-17,3.159048e-12,9.978152e-17,3.495325e-12,1.540461e-16,3.680501e-12,2.332505e-16,3.608915e-12,3.443278e-16,3.184343e-12,4.918771e-16,2.391591e-12,6.736442e-16,1.392738e-12
1.770,4.263541e-19,3.127749e-13,6.745866e-19,4.009940e-13,1.073706e-18,5.110952e-13,1.718350e-18,6.474697e-13,2.763449e-18,8.149460e-13,4.462407e-18,1.018557e-12,7.228497e-18,1.263076e-12,1.173224e-17,1.552175e-12,1.905288e-17,1.887011e-12,3.090795e-17,2.263961e-12,4.998910e-17,2.671195e-12,8.042973e-17,3.083889e-12,1.284116e-16,3.458307e-12,2.028679e-16,3.726377e-12,3.161451e-16,3.795399e-12,4.843373e-16,3.562852e-12,7.268854e-16,2.961530e-12,1.065243e-15,2.041973e-12
1.867,4.786920e-19,3.108815e-13,7.623203e-19,3.964625e-13,1.221782e-18,5.026090e-13,1.969853e-18,6.333044e-13,3.193061e-18,7.929320e-13,5.199951e-18,9.861001e-13,8.500067e-18,1.217292e-12,1.393194e-17,1.490235e-12,2.286753e-17,1.806839e-12,3.753318e-17,2.165491e-12,6.150210e-17,2.558466e-12,1.004302e-16,2.968203e-12,1.631217e-16,3.362462e-12,2.630212e-16,3.689047e-12,4.202490e-16,3.872582e-12,6.643768e-16,3.819249e-12,1.038524e-15,3.440373e-12,1.606829e-15,2.707383e-12
1.965,5.345401e-19,3.072988e-13,8.567418e-19,3.897913e-13,1.382550e-18,4.914450e-13,2.245379e-18,6.158232e-13,3.668068e-18,7.668424e-13,6.023168e-18,9.486433e-13,9.933172e-18,1.165332e-12,1.643593e-17,1.420515e-12,2.725484e-17,1.716525e-12,4.523500e-17,2.053178e-12,7.503709e-17,2.425876e-12,1.242257e-16,2.822862e-12,2.049552e-16,3.221507e-12,3.365679e-16,3.583897e-12,5.496449e-16,3.852859e-12,8.925923e-16,3.951551e-12,1.443332e-15,3.793022e-12,2.333157e-15,3.309690e-12
2.062,6.349103e-06,3.023221e-13,1.024114e-05,3.813933e-13,1.663890e-05,4.781763e-13,2.721846e-05,5.958154e-13,4.480584e-05,7.377575e-13,7.417379e-05,9.076577e-13,1.233855e-04,1.109193e-12,2.060479e-04,1.345728e-12,3.450642e-04,1.619768e-12,5.788295e-04,1.932075e-12,9.713731e-04,2.280347e-12,1.628845e-03,2.657274e-12,2.726256e-03,3.047896e-12,4.551163e-03,3.426286e-12,7.576839e-03,3.752062e-12,1.259109e-02,3.968183e-12,2.094244e-02,4.003281e-12,3.506875e-02,3.784318e-12
2.160,7.028426e-06,2.962107e-13,1.140883e-05,3.716278e-13,1.866112e-05,4.632964e-13,3.074497e-05,5.739537e-13,5.099471e-05,7.065881e-13,8.509655e-05,8.643725e-13,1.427580e-04,1.050533e-12,2.405483e-04,1.268118e-12,4.067082e-04,1.519622e-12,6.892471e-04,1.806392e-12,1.169510e-03,2.127743e-12,1.984855e-03,2.479672e-12,3.366706e-03,2.853119e-12,5.705283e-03,3.231744e-12,9.663104e-03,3.589451e-12,1.638453e-02,3.888312e-12,2.791380e-02,4.078390e-12,4.812147e-02,4.102354e-12
2.257,7.753161e-06,2.891903e-13,1.266463e-05,3.608041e-13,2.085393e-05,4.472252e-13,3.460133e-05,5.508031e-13,5.782106e-05,6.740897e-13,9.725104e-05,8.197931e-13,1.645098e-04,9.906889e-13,2.796435e-04,1.189468e-12,4.772202e-04,1.418493e-12,8.167664e-04,1.679416e-12,1.400595e-03,1.972633e-12,2.404291e-03,2.296502e-12,4.129210e-03,2.646312e-12,7.094481e-03,3.013014e-12,1.220351e-02,3.381850e-12,2.106118e-02,3.731254e-12,3.662425e-02,4.032860e-12,6.467235e-02,4.254288e-12
2.355,8.526369e-06,2.814564e-13,1.401504e-05,3.491872e-13,2.323106e-05,4.303180e-13,3.881663e-05,5.268357e-13,6.534623e-05,6.408845e-13,1.107661e-04,7.747357e-13,1.889108e-04,9.307318e-13,3.238960e-04,1.111193e-12,5.577680e-04,1.318269e-12,9.638004e-04,1.553724e-12,1.669592e-03,1.818623e-12,2.897309e-03,2.112931e-12,5.034458e-03,2.435014e-12,8.760738e-03,2.781106e-12,1.528303e-02,3.144912e-12,2.679302e-02,3.517674e-12,4.742282e-02,3.889460e-12,8.543531e-02,4.253325e-12
2.452,9.351330e-06,2.731775e-13,1.546704e-05,3.370024e-13,2.580745e-05,4.128727e-13,4.342259e-05,5.024413e-13,7.363752e-05,6.074781e-13,1.257842e-04,7.298525e-13,2.162613e-04,8.715023e-13,3.739367e-04,1.034383e-12,6.496717e-04,1.220393e-12,1.133099e-03,1.431265e-12,1.982199e-03,1.668440e-12,3.475664e-03,1.932910e-12,6.106577e-03,2.225108e-12,1.075338e-02,2.544902e-12,1.900222e-02,2.891931e-12,3.378478e-02,3.266666e-12,6.072727e-02,3.673114e-12,1.112679e-01,4.125261e-12
